Disease Name,Disease Definition
Townes-Brocks Syndrome,"Townes-Brocks syndrome is a genetic condition that affects several parts of the body. The most common features of this condition are a malformation of the anal opening (imperforate anus), abnormally shaped ears, and hand malformations that most often affect the thumbs. People with this condition often have at least two of these three major features.Other signs and symptoms of Townes-Brocks syndrome can include kidney abnormalities, mild to profound hearing loss, eye abnormalities, heart defects, foot abnormalities, and genital malformations. These features vary among affected individuals, even within the same family. Mild intellectual disability or learning problems have been reported in about 10 percent of people with Townes-Brocks syndrome."
Transcobalamin deficiency,"Transcobalamin deficiency is a disorder that impairs the transport of cobalamin (also known as vitamin B12) within the body. Cobalamin is obtained from the diet; this vitamin is found in animal products such as meat, eggs, and shellfish. An inability to transport cobalamin within the body results in cells that lack cobalamin, which they need for many functions including cell growth and division (proliferation) and DNA production. The absence of cobalamin leads to impaired growth, a shortage of blood cells, and many other signs and symptoms that usually become apparent within the first weeks or months of life.The first signs of transcobalamin deficiency are typically a failure to gain weight and grow at the expected rate (failure to thrive), vomiting, diarrhea,  and open sores (ulcers) on the mucous membranes such as the lining inside the mouth. Neurological function is impaired in affected individuals, and they can experience progressive stiffness and weakness in their legs (paraparesis), muscle twitches (myoclonus), or intellectual disability.People with transcobalamin deficiency often develop a blood disorder called megaloblastic anemia. Megaloblastic anemia results in a shortage of red blood cells, and the remaining red blood cells are abnormally large. Individuals with transcobalamin deficiency may also have a shortage of white blood cells (neutropenia), which can lead to reduced immune system function. Decreased cellular cobalamin can lead to a buildup of certain compounds in the body, resulting in metabolic conditions known as methylmalonic aciduria or homocystinuria."
Transthyretin amyloidosis,"Transthyretin amyloidosis is a slowly progressive condition characterized by the buildup of abnormal deposits of a protein called amyloid (amyloidosis) in the body's organs and tissues.  These protein deposits most frequently occur in the peripheral nervous system, which is made up of nerves connecting the brain and spinal cord to muscles and sensory cells that detect sensations such as touch, pain, heat, and sound.  Protein deposits in these nerves result in a loss of sensation in the extremities (peripheral neuropathy).  The autonomic nervous system, which controls involuntary body functions such as blood pressure, heart rate, and digestion, may also be affected by amyloidosis.  In some cases, the brain and spinal cord (central nervous system) are affected.  Other areas of amyloidosis include the heart, kidneys, eyes, and gastrointestinal tract.  The age at which symptoms begin to develop varies widely among individuals with this condition, and is typically between ages 20 and 70.There are three major forms of transthyretin amyloidosis, which are distinguished by their symptoms and the body systems they affect.The neuropathic form of transthyretin amyloidosis primarily affects the peripheral and autonomic nervous systems, resulting in peripheral neuropathy and difficulty controlling bodily functions.  Impairments in bodily functions can include sexual impotence, diarrhea, constipation, problems with urination, and a sharp drop in blood pressure upon standing (orthostatic hypotension).  Some people experience heart and kidney problems as well.  Various eye problems may occur, such as cloudiness of the clear gel that fills the eyeball (vitreous opacity), dry eyes, increased pressure in the eyes (glaucoma), or pupils with an irregular or ""scalloped"" appearance.  Some people with this form of transthyretin amyloidosis develop carpal tunnel syndrome, which is characterized by numbness, tingling, and weakness in the hands and fingers.The leptomeningeal form of transthyretin amyloidosis primarily affects the central nervous system.  In people with this form, amyloidosis occurs in the leptomeninges, which are two thin layers of tissue that cover the brain and spinal cord.  A buildup of protein in this tissue can cause stroke and bleeding in the brain, an accumulation of fluid in the brain (hydrocephalus), difficulty coordinating movements (ataxia), muscle stiffness and weakness (spastic paralysis), seizures, and loss of intellectual function (dementia).  Eye problems similar to those in the neuropathic form may also occur.  When people with leptomeningeal transthyretin amyloidosis have associated eye problems, they are said to have the oculoleptomeningeal form.The cardiac form of transthyretin amyloidosis affects the heart.  People with cardiac amyloidosis may have an abnormal heartbeat (arrhythmia), an enlarged heart (cardiomegaly), or orthostatic hypertension.  These abnormalities can lead to progressive heart failure and death.  Occasionally, people with the cardiac form of transthyretin amyloidosis have mild peripheral neuropathy."
Treacher Collins syndrome,"Treacher Collins syndrome is a condition that affects the development of bones and other tissues of the face. The signs and symptoms of this disorder vary greatly, ranging from almost unnoticeable to severe. Most affected individuals have underdeveloped facial bones, particularly the cheek bones, and a very small jaw and chin (micrognathia). Some people with this condition are also born with an opening in the roof of the mouth called a cleft palate. In severe cases, underdevelopment of the facial bones may restrict an affected infant's airway, causing potentially life-threatening respiratory problems.People with Treacher Collins syndrome often have eyes that slant downward, sparse eyelashes, and a notch in the lower eyelids called an eyelid coloboma. Some affected individuals have additional eye abnormalities that can lead to vision loss. This condition is also characterized by absent, small, or unusually formed ears. Hearing loss occurs in about half of all affected individuals; hearing loss is caused by defects of the three small bones in the middle ear, which transmit sound, or by underdevelopment of the ear canal. People with Treacher Collins syndrome usually have normal intelligence."
Trichohepatoenteric syndrome,"Trichohepatoenteric syndrome is a condition that affects the hair (tricho-), liver (hepato-), and intestines (enteric), as well as other tissues and organs in the body. This condition is also known as syndromic diarrhea because chronic, difficult-to-treat diarrhea is one of its major features. Within the first few weeks of life, affected infants develop watery diarrhea that occurs multiple times per day. Even with nutritional support through intravenous feedings (parenteral nutrition), many of these children experience failure to thrive, which means they do not gain weight or grow at the expected rate. Most children with trichohepatoenteric syndrome are small at birth, and they remain shorter than their peers throughout life.Abnormal hair is another feature of trichohepatoenteric syndrome. Hair in affected individuals is described as wooly, brittle, patchy, and easily pulled out. Under a microscope, some strands of hair can be seen to vary in diameter, with thicker and thinner spots. This feature is known as trichorrhexis nodosa.Other signs and symptoms of trichohepatoenteric syndrome can include liver disease; skin abnormalities; and distinctive facial features, including a wide forehead, a broad base of the nose, and widely spaced eyes. Overall, the facial features are described as ""coarse."" Most affected individuals also experience immune system abnormalities that can make them prone to developing infections. Less commonly, trichohepatoenteric syndrome is associated with heart (cardiac) abnormalities. Mild intellectual disability has been reported in at least half of all children with the condition.Trichohepatoenteric syndrome is often life-threatening in childhood, particularly in children who develop liver disease or severe infections."
Trichorhinophalangeal syndrome type I,"Trichorhinophalangeal syndrome type I (TRPS I) is a condition that causes bone and joint malformations; distinctive facial features; and abnormalities of the skin, hair, teeth, sweat glands, and nails. The name of the condition describes some of the areas of the body that are commonly affected: hair (tricho-), nose (rhino-), and fingers and toes (phalangeal).In people with TRPS I, the ends (epiphyses) of one or more bones in the fingers or toes are abnormally cone-shaped. Additionally, the fingernails and toenails are typically thin and abnormally formed. Affected individuals often have short feet.Individuals with TRPS I may have a misalignment of the hip joints (hip dysplasia), which often develops in early adulthood but can occur in infancy or childhood. Children with TRPS I often have an unusually large range of movement (hypermobility) in many of their joints. Over time, however, the joints may break down (degenerate), leading to joint pain and a limited range of joint movement.The characteristic appearance of individuals with TRPS I involves thick eyebrows; a broad nose with a rounded tip; large ears, a long, smooth area between the nose and the upper lip (philtrum); a thin upper lip; and small teeth that are either decreased (oligodontia) or increased (supernumerary) in number. Almost all affected individuals have sparse scalp hair. Males are particularly affected by hair loss with many being nearly or completely bald soon after puberty. Some children with this condition have loose skin, but the skin becomes tighter over time. Individuals with TRPS I may experience excessive sweating (hyperhidrosis)."
Trichorhinophalangeal syndrome type II,"Trichorhinophalangeal syndrome type II (TRPS II) is a condition that causes bone and joint malformations; distinctive facial features; intellectual disability; and abnormalities of the skin, hair, teeth, sweat glands, and nails. The name of the condition describes some of the areas of the body that are commonly affected: hair (tricho-), nose (rhino-), and fingers and toes (phalangeal).People with this condition have multiple noncancerous (benign) bone tumors called osteochondromas. Affected individuals may develop a few to several hundred osteochondromas. These bone growths typically begin in infancy to early childhood and stop forming around adolescence. Depending on the location of the osteochondromas, they can cause pain, limited range of joint movement, or damage to blood vessels or the spinal cord. Individuals with TRPS II may have reduced bone mineral density (osteopenia). Affected individuals often have slow growth before and after birth resulting in short stature. In TRPS II, the ends (epiphyses) of one or more bones in the fingers or toes are abnormally cone-shaped. Additionally, the fingernails and toenails are typically thin and abnormally formed.Children with TRPS II often have an unusually large range of joint movement (hypermobility). However, as osteochondromas begin to develop, typically starting between infancy and mid-childhood, the joints begin to stiffen, leading to decreased mobility. Individuals with TRPS II may also have a misalignment of the hip joints (hip dysplasia), which often develops in early adulthood but can occur in infancy or childhood.The characteristic appearance of individuals with TRPS II involves thick eyebrows; a broad nose with a rounded tip; a long, smooth area between the nose and the upper lip (philtrum); a thin upper lip; and small teeth that are either decreased (oligodontia) or increased (supernumerary) in number. Almost all affected individuals have sparse scalp hair. Males are particularly affected by hair loss, with many being nearly or completely bald soon after puberty. Some children with this condition have loose skin, but the skin becomes tighter over time. Individuals with TRPS II may experience excessive sweating (hyperhidrosis).Most individuals with TRPS II have mild intellectual disability."
Trichothiodystrophy,"Trichothiodystrophy, commonly called TTD, is a rare inherited condition that affects many parts of the body. The hallmark of this condition is hair that is sparse and easily broken. In people with trichothiodystrophy, tests show that the hair is lacking sulfur-containing proteins that normally gives hair its strength. A cross section of a cut hair shows alternating light and dark banding that has been described as a ""tiger tail.""The signs and symptoms of trichothiodystrophy vary widely. Mild cases may involve only the hair. More severe cases also cause delayed development, significant intellectual disability, and recurrent infections; severely affected individuals may survive only into infancy or early childhood.Mothers of children with trichothiodystrophy may experience problems during pregnancy including pregnancy-induced high blood pressure (preeclampsia) and a related condition called HELLP syndrome that can damage the liver. Babies with trichothiodystrophy are at increased risk of premature birth, low birth weight, and slow growth. Most children with trichothiodystrophy have short stature compared to others their age. Intellectual disability and delayed development are common in people with trichothiodystrophy, although most affected individuals are highly social with an outgoing and engaging personality. Some people with trichothiodystrophy have brain abnormalities that can be seen with imaging tests. A common neurological feature of this disorder is impaired myelin production (dysmyelination). Myelin is a fatty substance that insulates nerve cells and promotes the rapid transmission of nerve impulses.Trichothiodystrophy is also associated with recurrent infections, particularly respiratory infections, which can be life-threatening. People with trichothiodystrophy may have abnormal red blood cells, including red blood cells that are smaller than normal. They may also have elevated levels of a type of hemoglobin called A2, which is a protein found in red blood cells. Other features of trichothiodystrophy can include dry, scaly skin (ichthyosis); abnormalities of the fingernails and toenails; clouding of the lens in both eyes from birth (congenital cataracts); poor coordination; and skeletal abnormalities including degeneration of both hips at an early age.About half of all people with trichothiodystrophy have a photosensitive form of the disorder, which causes them to be extremely sensitive to ultraviolet (UV) rays from sunlight. They develop a severe sunburn after spending just a few minutes in the sun. However, for reasons that are unclear, they do not develop other sun-related problems such as excessive freckling of the skin or an increased risk of skin cancer. Many people with trichothiodystrophy report that they do not sweat."
Trimethylaminuria,"Trimethylaminuria is a disorder in which the body is unable to break down trimethylamine, a chemical compound that has a pungent odor. Trimethylamine has been described as smelling like rotten or decaying fish. As this compound builds up in the body, it causes affected people to give off a strong fishy odor in their sweat, urine, and breath. The intensity of the odor may vary over time. The odor can interfere with many aspects of daily life, affecting a person's relationships, social life, and career. Some people with trimethylaminuria experience depression and social isolation as a result of this condition."
Triosephosphate isomerase deficiency,"Triosephosphate isomerase deficiency is a disorder characterized by a shortage of red blood cells (anemia), movement problems, increased susceptibility to infection, and muscle weakness that can affect breathing and heart function.The anemia in this condition begins in infancy. Since the anemia results from the premature breakdown of red blood cells (hemolysis), it is known as hemolytic anemia. A shortage of red blood cells to carry oxygen throughout the body leads to extreme tiredness (fatigue), pale skin (pallor), and shortness of breath. When the red cells are broken down, iron and a molecule called bilirubin are released; individuals with triosephosphate isomerase deficiency have an excess of these substances circulating in the blood. Excess bilirubin in the blood causes jaundice, which is a yellowing of the skin and the whites of the eyes.Movement problems typically become apparent by age 2 in people with triosephosphate isomerase deficiency. The movement problems are caused by impairment of motor neurons, which are specialized nerve cells in the brain and spinal cord that control muscle movement. This impairment leads to muscle weakness and wasting (atrophy) and causes the movement problems typical of triosephosphate isomerase deficiency, including involuntary muscle tensing (dystonia), tremors, and weak muscle tone (hypotonia). Affected individuals may also develop seizures.Weakness of other muscles, such as the heart (a condition known as cardiomyopathy) and the muscle that separates the abdomen from the chest cavity (the diaphragm) can also occur in triosephosphate isomerase deficiency. Diaphragm weakness can cause breathing problems and ultimately leads to respiratory failure.Individuals with triosephosphate isomerase deficiency are at increased risk of developing infections because they have poorly functioning white blood cells. These immune system cells normally recognize and attack foreign invaders, such as viruses and bacteria, to prevent infection. The most common infections in people with triosephosphate isomerase deficiency are bacterial infections of the respiratory tract.People with triosephosphate isomerase deficiency often do not survive past childhood due to respiratory failure. In a few rare cases, affected individuals without severe nerve damage or muscle weakness have lived into adulthood."
Triple A syndrome,"Triple A syndrome is an inherited condition characterized by three specific features: achalasia, Addison disease, and alacrima. Achalasia is a disorder that affects the ability to move food through the esophagus, the tube that carries food from the throat to the stomach. It can lead to severe feeding difficulties and low blood glucose (hypoglycemia). Addison disease, also known as primary adrenal insufficiency, is caused by abnormal function of the small hormone-producing glands on top of each kidney (adrenal glands). The main features of Addison disease include fatigue, loss of appetite, weight loss, low blood pressure, and darkening of the skin. The third major feature of triple A syndrome is a reduced or absent ability to secrete tears (alacrima). Most people with triple A syndrome have all three of these features, although some have only two.Many of the features of triple A syndrome are caused by dysfunction of the autonomic nervous system. This part of the nervous system controls involuntary body processes such as digestion, blood pressure, and body temperature. People with triple A syndrome often experience abnormal sweating, difficulty regulating blood pressure, unequal pupil size (anisocoria), and other signs and symptoms of autonomic nervous system dysfunction (dysautonomia).People with this condition may have other neurological abnormalities, such as developmental delay, intellectual disability, speech problems (dysarthria), and a small head size (microcephaly). In addition, affected individuals commonly experience muscle weakness, movement problems, and nerve abnormalities in their extremities (peripheral neuropathy). Some develop optic atrophy, which is the degeneration (atrophy) of the nerves that carry information from the eyes to the brain. Many of the neurological symptoms of triple A syndrome worsen over time.People with triple A syndrome frequently develop a thickening of the outer layer of skin (hyperkeratosis) on the palms of their hands and the soles of their feet. Other skin abnormalities may also be present in people with this condition.Alacrima is usually the first noticeable sign of triple A syndrome, as it becomes apparent early in life that affected children produce little or no tears while crying. They develop Addison disease and achalasia during childhood or adolescence, and most of the neurologic features of triple A syndrome begin during adulthood. The signs and symptoms of this condition vary among affected individuals, even among members of the same family."
Trisomy 13,"Trisomy 13, also called Patau syndrome, is a chromosomal condition associated with severe intellectual disability and physical abnormalities in many parts of the body. Individuals with trisomy 13 often have heart defects, brain or spinal cord abnormalities, very small or poorly developed eyes (microphthalmia), extra fingers or toes, an opening in the lip (a cleft lip) with or without an opening in the roof of the mouth (a cleft palate), and weak muscle tone (hypotonia). Due to the presence of several life-threatening medical problems, many infants with trisomy 13 die within their first days or weeks of life. Only five percent to 10 percent of children with this condition live past their first year."
Trisomy 18,"Trisomy 18, also called Edwards syndrome, is a chromosomal condition associated with abnormalities in many parts of the body. Individuals with trisomy 18 often have slow growth before birth (intrauterine growth retardation) and a low birth weight. Affected individuals may have heart defects and abnormalities of other organs that develop before birth. Other features of trisomy 18 include a small, abnormally shaped head; a small jaw and mouth; and clenched fists with overlapping fingers. Due to the presence of several life-threatening medical problems, many individuals with trisomy 18 die before birth or within their first month. Five to 10 percent of children with this condition live past their first year, and these children often have severe intellectual disability."
Trisomy X,"Trisomy X, also called triple X syndrome or 47,XXX, is characterized by the presence of an additional X chromosome in each of a female's cells.  Although females with this condition may be taller than average, this chromosomal change typically causes no unusual physical features.   Most females with trisomy X have normal sexual development and are able to conceive children.Trisomy X is associated with an increased risk of learning disabilities and delayed development of speech and language skills.  Delayed development of motor skills (such as sitting and walking), weak muscle tone (hypotonia), and behavioral and emotional difficulties are also possible, but these characteristics vary widely.  Seizures or kidney abnormalities occur in about 10 percent of affected females."
Troyer syndrome,"Troyer syndrome is part of a group of genetic disorders known as hereditary spastic paraplegias. These disorders are characterized by progressive muscle stiffness (spasticity) and the development of paralysis of the lower limbs (paraplegia). Hereditary spastic paraplegias are divided into two types: pure and complex. The pure types involve the lower limbs. The complex types involve the lower limbs and can also affect the upper limbs to a lesser degree; the structure or functioning of the brain; and the nerves connecting the brain and spinal cord to muscles and sensory cells that detect sensations such as touch, pain, heat, and sound (the peripheral nervous system). Troyer syndrome is a complex hereditary spastic paraplegia.People with Troyer syndrome can experience a variety of signs and symptoms. The most common characteristics of Troyer syndrome are spasticity of the leg muscles, progressive muscle weakness, paraplegia, muscle wasting in the hands and feet (distal amyotrophy), small stature, developmental delay, learning disorders, speech difficulties (dysarthria), and mood swings. Other characteristics can include exaggerated reflexes (hyperreflexia) in the lower limbs, uncontrollable movements of the limbs (choreoathetosis), skeletal abnormalities, and a bending outward (valgus) of the knees.Troyer syndrome causes the degeneration and death of muscle cells and motor neurons (specialized nerve cells that control muscle movement) throughout a person's lifetime, leading to a slow progressive decline in muscle and nerve function. The severity of impairment related to Troyer syndrome increases as a person ages. Most affected individuals require a wheelchair by the time they are in their fifties or sixties."
Tuberous sclerosis complex,"Tuberous sclerosis complex is a genetic disorder characterized by the growth of numerous noncancerous (benign) tumors in many parts of the body. These tumors can occur in the brain, kidneys, heart, skin, and other organs, in some cases leading to significant health problems. Tuberous sclerosis complex also causes developmental problems, and the signs and symptoms of the condition vary from person to person.Tuberous sclerosis complex often affects the brain, with some affected individuals having benign growths in the outer surface of the brain (cerebral cortex) known as cortical tubers. Individuals with tuberous sclerosis complex often develop a pattern of behaviors called TSC-associated neuropsychiatric disorders (TAND). These disorders include hyperactivity, aggression, psychiatric conditions, intellectual disability, and problems with communication and social interaction (autism spectrum disorder). Additionally, individuals with tuberous sclerosis complex may have attention-deficit/hyperactivity disorder (ADHD) or seizures.Kidney tumors are common in people with tuberous sclerosis complex; these growths can cause severe problems with kidney function and may be life-threatening in some cases. Additionally, tumors can develop in the heart (cardiac rhabdomyoma) and the light-sensitive tissue at the back of the eye (the retina). Some women with tuberous sclerosis complex develop lymphangioleiomyomatosis (LAM), which is a lung disease characterized by the abnormal overgrowth of smooth muscle-like tissue in the lungs that causes coughing, shortness of breath, chest pain, and lung collapse.Virtually all affected people have skin abnormalities, including patches of unusually light-colored skin, areas of raised and thickened skin, and growths under the nails. Tumors on the face called facial angiofibromas are also common beginning in childhood. Sometimes, affected individuals have areas of bone or dental damage."
Tubular aggregate myopathy,"Tubular aggregate myopathy is a disorder that primarily affects the skeletal muscles, which are muscles the body uses for movement. This disorder causes muscle pain, cramping, or weakness that begins in childhood and worsens over time. The muscles of the lower limbs are most often affected, although the upper limbs can also be involved. Affected individuals can have difficulty running, climbing stairs, or getting up from a squatting position. The weakness may also lead to an unusual walking style (gait). Some people with this condition develop joint deformities (contractures) in the arms and legs.Skeletal muscles are normally made up of two types of fibers, called type I and type II fibers, in approximately equal quantities. Type I fibers, also called slow twitch fibers, are used for long, sustained activity, such as walking long distances. Type II fibers, also known as fast twitch fibers, are used for short bursts of strength, which are needed for activities such as running up stairs or sprinting. In people with tubular aggregate myopathy, type II fibers waste away (atrophy), so affected individuals have mostly type I fibers. In addition, proteins build up abnormally in both type I and type II fibers, forming clumps of tube-like structures called tubular aggregates. Tubular aggregates can occur in other muscle disorders, but they are the primary muscle cell abnormality in tubular aggregate myopathy."
Tumor necrosis factor receptor-associated periodic syndrome,"Tumor necrosis factor receptor-associated periodic syndrome (commonly known as TRAPS) is a condition characterized by recurrent episodes of fever. These fevers typically last about 3 weeks but can last from a few days to a few months. The frequency of the episodes varies greatly among affected individuals; fevers can occur anywhere between every 6 weeks to every few years.  Some individuals can go many years without having a fever episode. Fever episodes usually occur spontaneously, but sometimes they can be brought on by a variety of triggers, such as minor injury, infection, stress, exercise, or hormonal changes.During episodes of fever, people with TRAPS can have additional signs and symptoms. These include abdominal and muscle pain and a spreading skin rash, typically found on the limbs. Affected individuals may also experience puffiness or swelling in the skin around the eyes (periorbital edema); joint pain; and inflammation in various areas of the body including the eyes, heart muscle, certain joints, throat, or mucous membranes such as the moist lining of the mouth and digestive tract. Occasionally, people with TRAPS develop amyloidosis, an abnormal buildup of a protein called amyloid in the kidneys that can lead to kidney failure. It is estimated that 15 to 20 percent of people with TRAPS develop amyloidosis, typically in mid-adulthood.The fever episodes characteristic of TRAPS can begin at any age, from infancy to late adulthood, but most people have their first episode in childhood."
Turner syndrome,"Turner syndrome is a chromosomal condition that affects development in people who are assigned female at birth. Females typically have two X chromosomes, but in individuals with Turner syndrome, one copy of the X chromosome is missing or altered.The most common feature of Turner syndrome is short stature, which becomes evident by about age 5. Reduced functioning of the ovaries, the female reproductive organs that produce egg cells (oocytes) and female sex hormones, is also very common. The ovaries develop normally at first, but egg cells usually die prematurely and most ovarian tissue breaks down before birth. Many affected individuals do not undergo puberty unless they receive hormone therapy, and most are unable to become pregnant naturally. A small percentage of people with Turner syndrome retain normal ovarian function through young adulthood.About 30 percent of individuals with Turner syndrome have extra folds of skin on the neck (webbed neck), a low hairline at the back of the neck, puffiness or swelling (lymphedema) of the hands and feet, skeletal abnormalities, or kidney problems. One-third to one-half of individuals with Turner syndrome are born with a heart defect, such as a narrowing of the large artery that leaves the heart (coarctation of the aorta) or abnormalities of the valve that connects the aorta to the heart (the aortic valve). Complications associated with these heart defects can be life-threatening.Most people with Turner syndrome have normal intelligence. Developmental delays, nonverbal learning disabilities, and behavioral problems are possible, although these characteristics vary among affected individuals."
Type 1 diabetes,"Type 1 diabetes is a disorder characterized by abnormally high levels of blood glucose, also called blood sugar. In this form of diabetes, specialized cells in the pancreas called beta cells stop producing insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy. Lack of insulin results in the inability to use glucose for energy or to control the amount of glucose in the blood.Type 1 diabetes can occur at any age, from early childhood to late adulthood. The first signs and symptoms of the disorder are caused by high blood glucose and may include frequent urination (polyuria), excessive thirst (polydipsia), fatigue, blurred vision, tingling or loss of feeling in the hands and feet, and weight loss. These symptoms may recur during the course of the disorder if blood glucose is not well controlled by insulin replacement therapy. Improper control can also cause blood glucose levels to become too low (hypoglycemia). This may occur when the body's needs change, such as during exercise or if eating is delayed. Hypoglycemia can cause headache, dizziness, hunger, shaking, sweating, weakness, and agitation.Uncontrolled type 1 diabetes can lead to a life-threatening complication called diabetic ketoacidosis. Without insulin, cells cannot take in glucose. A lack of glucose in cells prompts the liver to try to compensate by releasing more glucose into the blood, and blood glucose can become extremely high. The cells, unable to use the glucose in the blood for energy, respond by using fats instead. Breaking down fats to obtain energy produces waste products called ketones, which can build up to toxic levels in people with type 1 diabetes, resulting in diabetic ketoacidosis. Affected individuals may begin breathing rapidly; develop a fruity odor in the breath; and experience nausea, vomiting, facial flushing, stomach pain, and dryness of the mouth (xerostomia). In severe cases, diabetic ketoacidosis can lead to coma and death.Over many years, the chronic high blood glucose associated with diabetes may cause damage to blood vessels and nerves, leading to complications affecting many organs and tissues. The retina, which is the light-sensitive tissue at the back of the eye, can be damaged (diabetic retinopathy), leading to vision loss and eventual blindness. Kidney damage (diabetic nephropathy) may also occur and can lead to kidney failure and end-stage renal disease (ESRD). Pain, tingling, and loss of normal sensation (diabetic neuropathy) often occur, especially in the feet. Impaired circulation and absence of the normal sensations that prompt reaction to injury can result in permanent damage to the feet; in severe cases, the damage can lead to amputation. People with type 1 diabetes are also at increased risk of heart attacks, strokes, and problems with urinary and sexual function."
Type 2 diabetes,"Type 2 diabetes is a disorder characterized by abnormally high levels of blood glucose, also called blood sugar. In this form of diabetes, the body stops using and making insulin properly. Insulin is a hormone produced in the pancreas that helps regulate blood glucose levels. Specifically, insulin controls how much glucose (a type of sugar) is passed from the blood into cells, where it is used as an energy source. When blood glucose levels are high (such as after a meal), the pancreas releases insulin to move the excess glucose into cells, which reduces the amount of glucose in the blood.Most people who develop type 2 diabetes first have insulin resistance, a condition in which the body's cells use insulin less efficiently than normal. As insulin resistance develops, more and more insulin is needed to keep blood glucose levels in the normal range. To keep up with the increasing need, insulin-producing cells in the pancreas (called beta cells) make larger amounts of insulin. Over time, the beta cells become less able to respond to blood glucose changes, leading to an insulin shortage that prevents the body from reducing blood glucose levels effectively. Most people have some insulin resistance as they age, but inadequate exercise and excessive weight gain make it worse, greatly increasing the likelihood of developing type 2 diabetes.Type 2 diabetes can occur at any age, but it most commonly begins in middle age or later. Signs and symptoms develop slowly over years. They include frequent urination (polyuria), excessive thirst (polydipsia), fatigue, blurred vision, tingling or loss of feeling in the hands and feet (diabetic neuropathy), sores that do not heal well, and weight loss. If blood glucose levels are not controlled through medication or diet, type 2 diabetes can cause long-lasting (chronic) health problems including heart disease and stroke; nerve damage; and damage to the kidneys, eyes, and other parts of the body."
Type A insulin resistance syndrome,"Type A insulin resistance syndrome is a rare disorder characterized by severe insulin resistance, a condition in which the body's tissues and organs do not respond properly to the hormone insulin. Insulin normally helps regulate blood sugar levels by controlling how much sugar (in the form of glucose) is passed from the bloodstream into cells to be used as energy. In people with type A insulin resistance syndrome, insulin resistance impairs blood glucose regulation and ultimately leads to a condition called diabetes mellitus, in which blood glucose levels can become dangerously high.Severe insulin resistance also underlies the other signs and symptoms of type A insulin resistance syndrome. In affected females, the major features of the condition become apparent in adolescence. Many affected females do not begin menstruation by age 16 (primary amenorrhea) or their periods may be light and irregular (oligomenorrhea). They develop cysts on the ovaries and excessive body hair growth (hirsutism). Most affected females also develop a skin condition called acanthosis nigricans, in which the skin in body folds and creases becomes thick, dark, and velvety. Unlike most people with insulin resistance, females with type A insulin resistance syndrome are usually not overweight.The features of type A insulin resistance syndrome are more subtle in affected males. Some males have low blood glucose (hypoglycemia) as the only sign; others may also have acanthosis nigricans. In many cases, males with this condition come to medical attention only when they develop diabetes mellitus in adulthood.Type A insulin resistance syndrome is one of a group of related conditions described as inherited severe insulin resistance syndromes. These disorders, which also include Donohue syndrome and Rabson-Mendenhall syndrome, are considered part of a spectrum. Type A insulin resistance syndrome represents the mildest end of the spectrum: its features often do not become apparent until puberty or later, and it is generally not life-threatening."
Tyrosine hydroxylase deficiency,"Tyrosine hydroxylase (TH) deficiency is a disorder that primarily affects movement, with symptoms that may range from mild to severe.The mild form of this disorder is called TH-deficient dopa-responsive dystonia (DRD). Symptoms usually appear during childhood. Affected individuals may exhibit unusual limb positioning and a lack of coordination when walking or running. In some cases, people with TH-deficient DRD have additional movement problems such as shaking when holding a position (postural tremor) or involuntary upward-rolling movements of the eyes. The movement difficulties may slowly increase with age but almost always get better with medical treatment.The severe forms of TH deficiency are called infantile parkinsonism and progressive infantile encephalopathy. These forms of the disorder appear soon after birth and are more difficult to treat effectively.Babies with infantile parkinsonism have delayed development of motor skills such as sitting unsupported or reaching for a toy. They may have stiff muscles, especially in the arms and legs; unusual body positioning; droopy eyelids (ptosis); and involuntary upward-rolling eye movements. The autonomic nervous system, which controls involuntary body functions, may also be affected. Resulting signs and symptoms can include constipation, backflow of stomach acids into the esophagus (gastroesophageal reflux), and difficulty regulating blood sugar (glucose), body temperature, and blood pressure. People with the infantile parkinsonism  form of the disorder may have intellectual disability, speech problems, attention deficit disorder, and psychiatric conditions such as depression, anxiety, or obsessive-compulsive behaviors.Progressive infantile encephalopathy is an uncommon severe form of TH deficiency. It is characterized by brain dysfunction and structural abnormalities leading to profound physical and intellectual disability."
